name, version, version_created, version_downloads, homepage, dependencies
hexapdf, 0.28.0, 2022-12-30, 9481, https://hexapdf.gettalong.org, cmdparse | geom2d | openssl
hexapdf-extras, 1.0.0, 2022-08-07, 502, https://hexapdf-extras.gettalong.org, hexapdf
kramdown, 2.4.0, 2022-04-25, 9136203, http://kramdown.gettalong.org, rexml
webgen, 1.7.2, 2021-03-07, 2503, http://webgen.gettalong.org, cmdparse | kramdown | systemu
kramdown-converter-pdf, 1.0.5, 2021-01-14, 52732, https://github.com/kramdown/converter-pdf, kramdown | prawn | prawn-table
cmdparse, 3.0.7, 2020-12-08, 1763480, https://cmdparse.gettalong.org, 
hexapdf-cext, 1.0.0, 2020-01-27, 3164, https://hexapdf.gettalong.org, hexapdf
geom2d, 0.3.1, 2019-11-27, 959148, https://geom2d.gettalong.org, 
kramdown-parser-gfm, 1.1.0, 2019-05-29, 52788862, https://github.com/kramdown/parser-gfm, kramdown
kramdown-math-katex, 1.0.1, 2019-01-31, 41404, https://github.com/kramdown/math-katex, katex | kramdown
kramdown-syntax-coderay, 1.0.1, 2019-01-31, 44950, https://github.com/kramdown/syntax-coderay, coderay | kramdown
kramdown-math-itex2mml, 1.0.0, 2019-01-12, 3806, https://github.com/kramdown/math-itex2mml, itextomml | kramdown
kramdown-math-mathjaxnode, 1.0.0, 2019-01-12, 3861, https://github.com/kramdown/math-mathjaxnode, kramdown
kramdown-math-ritex, 1.0.0, 2019-01-12, 2915, https://github.com/kramdown/math-ritex, kramdown | ritex
kramdown-math-sskatex, 1.0.0, 2019-01-12, 4955, https://github.com/kramdown/math-sskatex, kramdown | sskatex
webgen-content_processor_emoticon-bundle, 1.0.0, 2013-08-25, 3360, http://github.com/gettalong/webgen-content_processor_emoticon-bundle, 
webgen-font_awesome-bundle, 1.0.0, 2013-08-25, 3445, http://github.com/gettalong/webgen-font_awesome-bundle, sass
webgen-sass_twitter_bootstrap-bundle, 1.0.0, 2013-08-25, 3327, http://github.com/gettalong/webgen-sass_twitter_bootstrap-bundle, sass
webgen-templates-bundle, 1.0.0, 2013-08-25, 3864, http://github.com/gettalong/webgen-templates-bundle, 
webgen-tipue_search-bundle, 1.0.0, 2013-08-25, 3400, http://github.com/gettalong/webgen-tipue_search-bundle, nokogiri
webgen-zurb_foundation-bundle, 1.0.0, 2013-08-25, 3472, http://github.com/gettalong/webgen-zurb_foundation-bundle, sass
ruby-amt, 0.1.0, 2009-10-20, 4288, http://ruby-amt.rubyforge.org, handsoap | httpclient
smagacor, 0.0.2, 2009-07-25, 4144, , 
xmlresume2x, 0.2.1, 2009-07-25, 4273, , 
