name, version, version_created, version_downloads, homepage, dependencies
unicode-display_width, 2.4.2, 2023-01-04, 1293022, https://github.com/janlelis/unicode-display_width, 
irbtools, 4.0.3, 2023-01-02, 276, https://github.com/janlelis/irbtools, clipboard | code | coderay | core_docs | debugging | every_day_irb | fancy_irb | hirb | interactive_editor | irb | looksee | methodfinder | object_shadow | os | paint | ruby_engine | ruby_version | wirb
code, 0.9.4, 2022-12-29, 741, https://github.com/janlelis/code, coderay | method_source
irbtools-more, 3.0.0, 2022-12-29, 216, https://github.com/janlelis/irbtools, irbtools
every_day_irb, 2.2.0, 2022-12-27, 790, https://irb.tools, cd
core_docs, 0.9.9, 2022-12-26, 712, https://github.com/janlelis/core_docs, yard
debugging, 2.1.0, 2022-12-25, 605, https://github.com/janlelis/debugging, paint
unicode-version, 1.3.0, 2022-12-25, 7138, https://github.com/janlelis/unicode-version, 
unicode-emoji, 3.3.1, 2022-10-18, 48826, https://github.com/janlelis/unicode-emoji, unicode-version
unicode-sequence_name, 1.12.0, 2022-09-16, 399, https://github.com/janlelis/unicode-sequence_name, 
characteristics, 1.5.0, 2022-09-14, 427, https://github.com/janlelis/characteristics, unicode-categories
symbolify, 1.4.1, 2022-09-14, 408, https://github.com/janlelis/symbolify, characteristics
unibits, 2.11.0, 2022-09-14, 354, https://github.com/janlelis/unibits, characteristics | paint | rationalist | symbolify | unicode-display_width
unicode-blocks, 1.8.0, 2022-09-14, 2747, https://github.com/janlelis/unicode-blocks, 
unicode-categories, 1.8.0, 2022-09-14, 3626, https://github.com/janlelis/unicode-categories, 
unicode-confusable, 1.9.0, 2022-09-14, 2660, https://github.com/janlelis/unicode-confusable, 
unicode-name, 1.11.0, 2022-09-14, 712, https://github.com/janlelis/unicode-name, unicode-types
unicode-numeric_value, 1.9.0, 2022-09-14, 536, https://github.com/janlelis/unicode-numeric_value, 
unicode-scripts, 1.8.0, 2022-09-14, 4022, https://github.com/janlelis/unicode-scripts, 
unicode-types, 1.8.0, 2022-09-14, 27185, https://github.com/janlelis/unicode-types, 
unicode-x, 15.0.0, 2022-09-14, 356, https://github.com/janlelis/unicode-x, unicode-blocks | unicode-categories | unicode-confusable | unicode-display_width | unicode-emoji | unicode-name | unicode-numeric_value | unicode-scripts | unicode-sequence_name | unicode-types
uniscribe, 1.8.0, 2022-09-14, 379, https://github.com/janlelis/uniscribe, characteristics | paint | rationalist | symbolify | unicode-display_width | unicode-emoji | unicode-name | unicode-sequence_name | unicode-version
paint, 2.3.0, 2022-07-05, 874192, https://github.com/janlelis/paint, 
nem, 1.0.1, 2022-01-27, 989, https://github.com/janlelis/nem, 
microevent, 1.1.1, 2022-01-01, 1111, https://github.com/janlelis/microevent.rb, 
micrologger, 0.1.3, 2022-01-01, 1086, https://github.com/janlelis/micrologger, microevent | paint
microgem, 1.1.1, 2021-12-28, 1156, https://github.com/janlelis/microgem, thor
unicode-age, 2.3.0, 2021-12-28, 1119, https://github.com/janlelis/unicode-age, 
multi_block, 1.2, 2021-11-18, 1251, https://github.com/janlelis/multi_block, named_proc
named_proc, 1.2, 2021-11-18, 1263, https://github.com/janlelis/named_proc, 
local_port, 1.0.0, 2021-10-21, 1345, https://rubygems.org/gems/local_port, 
clipboard, 1.3.6, 2021-07-25, 3722625, https://github.com/janlelis/clipboard, 
whirly, 0.3.0, 2021-06-04, 27089, https://github.com/janlelis/whirly, unicode-display_width
fancy_irb, 1.4.3, 2021-03-20, 42268, https://github.com/janlelis/fancy_irb, paint | unicode-display_width
render_react, 1.0.2, 2021-01-11, 1486, https://github.com/janlelis/render_react, execjs
wcswidth, 1.0.1, 2021-01-10, 1548, https://github.com/janlelis/wcswidth-ruby, ffi
figures, 0.2.1, 2021-01-09, 2309, https://github.com/paulgoetze/figures, 
unicopy, 1.0.1, 2021-01-09, 2306, https://github.com/janlelis/unicopy, clipboard | paint | rationalist
value_struct, 0.8.1, 2021-01-08, 2400, https://github.com/janlelis/value_struct, 
redux, 0.1.2, 2021-01-07, 9653, https://github.com/janlelis/redux.rb, 
sugar_refinery, 1.0.1, 2021-01-07, 1757, https://janlelis.github.io/sugar_refinery, 
exists, 1.0.1, 2021-01-06, 1572, https://github.com/janlelis/exists, null_question
null_plus, 1.0.1, 2021-01-06, 1537, https://github.com/janlelis/null_plus, null_question
