name, version, version_created, version_downloads, homepage, dependencies
mormor, 0.0.2, 2022-09-18, 343, https://github.com/molybdenum-99/mormor, backports
saharspec, 0.0.9, 2022-05-17, 22081, https://github.com/zverok/saharspec, ruby2_keywords
the_schema_is, 0.0.5, 2021-11-04, 3483, https://github.com/zverok/the_schema_is, activesupport | backports | memoist | rubocop
infoboxer, 0.4.0, 2021-05-30, 2251, https://github.com/molybdenum-99/infoboxer, addressable | htmlentities | mediawiktory | terminal-table
wheretz, 0.0.6, 2021-05-02, 780770, https://github.com/zverok/wheretz, 
geo_coord, 0.2.0, 2021-02-15, 44787, https://github.com/zverok/geo_coord, 
whatthegem, 0.0.4, 2020-12-05, 1347, https://github.com/zverok/whatthegem, backports | gems | hm | kramdown | kramdown-parser-gfm | liquid | memoist | octokit | time_calc | tty-markdown
yard-junk, 0.0.9, 2020-12-05, 243799, https://github.com/zverok/junk_yard, backports | rainbow | yard
delegates, 0.0.1, 2020-06-09, 1552, https://github.com/zverok/delegates, 
daru, 0.3, 2020-05-30, 295460, http://github.com/SciRuby/daru, packable
time_calc, 0.0.4, 2020-04-11, 12173, https://github.com/zverok/time_calc, backports
fstrings, 0.0.2, 2020-01-19, 1832, https://github.com/zverok/fstrings, binding_of_caller
hm, 0.0.4, 2019-06-09, 58502, https://github.com/zverok/hm, 
time_math2, 0.1.1, 2019-03-15, 7806, https://github.com/zverok/time_math2, 
sho, 0.0.2, 2018-06-27, 7422, https://github.com/zverok/sho, tilt
enumerator_generate, 0.0.1, 2018-05-21, 3544, https://github.com/zverok/enumerator_generate, 
object_enumerate, 0.0.1, 2018-05-18, 1707, https://github.com/zverok/object_enumerate, 
mediawiktory, 0.1.3, 2018-02-08, 9413, https://github.com/molybdenum-99/mediawiktory, addressable | faraday | faraday_middleware | hashie | naught | nokogiri
any_good, 0.0.5, 2018-01-29, 2407, https://github.com/zverok/any_good, gems | octokit | pastel | time_math2
tz_offset, 0.0.4, 2018-01-27, 1919, https://github.com/molybdenum-99/tz_offset, 
whatis, 0.0.1, 2017-12-04, 1847, https://github.com/molybdenum-99/whatis, backports | geo_coord | infoboxer
idempotent_enumerable, 0.0.1, 2017-10-16, 1931, https://github.com/zverok/idempotent_enumerable, 
reality, 0.0.5, 2017-09-29, 2395, https://github.com/molybdenum-99/reality, geokit | hashie | infoboxer | open-weather | quandl | ruby-sun-times | time_boots | timezone | tzinfo
did_you, 0.0.1, 2017-09-11, 6032, https://github.com/zverok/did_you, 
tlaw, 0.0.2, 2017-07-31, 2284, https://github.com/molybdenum-99/tlaw, addressable | crack | faraday | faraday_middleware
magic_cloud, 0.0.4, 2017-02-08, 30981, http://github.com/zverok/magic_cloud, rmagick | slop
time_boots, 0.0.2, 2016-05-27, 3765, https://github.com/zverok/time_boots, 
worldize, 0.0.1, 2016-01-21, 5115, https://github.com/zverok/worldize, color | hashie | rmagick
linkhum, 0.0.3, 2015-12-06, 3385, https://github.com/zverok/linkhum, addressable
dokaz, 0.0.4, 2015-06-21, 3124, https://github.com/zverok/dokaz, ansi | rouge | slop
procme, 0.0.3, 2015-05-23, 5079, https://github.com/zverok/procme, 
sequel_marginalia, 0.0.1, 2013-04-04, 3517, https://github.com/zverok/sequel_marginalia, 
